SeqCluster,Domain_IDs,ClusterNumber,Pfam_result
CK_00000001,PF00140  PF04539  PF04542  PF04539  PF04545,CK_Pro_HNLC2_01521,PF00140|PF04539|PF04542|PF04545
CK_00000002,PF00072  PF07701  PF00486,CK_Syn_WH8016_01352,PF00072|PF00486
CK_00000003,PF13555  PF00005  PF13304,CK_Pro_MIT9314_00172,PF00005
CK_00000007,PF06480  PF06068  PF00004  PF00004  PF17862  PF01434,CK_Syn_BMK-MC-1_01498,PF00004|PF01434|PF06480|PF17862
CK_00000009,PF00124,CK_Syn_A18-40_02421,PF00124
CK_00000011,PF02861  PF05496  PF00004  PF17871  PF17871  PF07724  PF07724  PF10431,CK_Pro_MIT9321_01158,PF00004|PF02861|PF07724|PF10431|PF17871
CK_00000012,PF00427  PF01383,CK_Syn_WH8101_00546,PF00427|PF01383
CK_00000013,PF13365  PF02907  PF13180  PF02163,CK_Syn_KORDI-52_21580,PF13180|PF13365
CK_00000015,PF01059  PF00361,CK_Syn_CC9616_02155,PF00361
CK_00000017,PF00044  PF00044  PF02800,CK_Pro_SB_01213,PF00044|PF02800
CK_00000018,PF00873,CK_Cya_CB0205_06836,PF00873
CK_00000020,PF03109  PF06176,CK_Cya_PCC6307_02394,PF03109
CK_00000021,PF01041,CK_Syn_BOUM118_00461,PF01041
CK_00000022,PF13555  PF13304,CK_Pro_MIT9123_01331,PF00005
CK_00000023,PF12849,CK_Syn_RS9917_00632,PF12849
CK_00000024,PF11965  PF02514,CK_Syn_MITS9220_01218,PF02514|PF11965
CK_00000025,PF00561,CK_Pro_SS120_01790,PF12697
CK_00000028,PF16898  PF00521  PF03989  PF03989  PF03989  PF03989  PF03989  PF03989,CK_Pro_NATL2A_00689,PF00521|PF03989
CK_00000029,PF00012,CK_Syn_PROS-U-1_03149,PF00012
CK_00000030,PF00266,CK_Pro_SS35_01570,PF00266
CK_00000031,PF16881  PF04055,CK_Pro_MIT9401_00026,PF04055|PF16881
CK_00000033,PF14684  PF17820  PF03572,CK_Syn_WH8103_01318,PF03572|PF17820
CK_00000039,PF00483  PF01050  PF01050  PF01050,CK_Syn_A15-28_00186,PF00483|PF01050|PF22640
CK_00000042,PF00124  PF00124,CK_Pro_MIT0604_01390,PF00124
