SeqCluster,ClusterNumber,Domain_IDs,Pfam_result
CK_00000001,CK_Pro_HNLC2_01521,PF00140  PF04539  PF04542  PF04539  PF04545,PF00140|PF04539|PF04542|PF04545
CK_00000002,CK_Syn_WH8016_01352,PF00072  PF07701  PF00486,PF00072|PF00486
CK_00000003,CK_Pro_MIT9314_00172,PF13555  PF00005  PF13304,PF00005
CK_00000007,CK_Syn_BMK-MC-1_01498,PF06480  PF06068  PF00004  PF00004  PF17862  PF01434,PF00004|PF01434|PF06480|PF17862
CK_00000009,CK_Syn_A18-40_02421,PF00124,PF00124
CK_00000011,CK_Pro_MIT9321_01158,PF02861  PF05496  PF00004  PF17871  PF17871  PF07724  PF07724  PF10431,PF00004|PF02861|PF07724|PF10431|PF17871
CK_00000012,CK_Syn_WH8101_00546,PF00427  PF01383,PF00427|PF01383
CK_00000013,CK_Syn_KORDI-52_21580,PF13365  PF02907  PF13180  PF02163,PF13180|PF13365
CK_00000015,CK_Syn_CC9616_02155,PF01059  PF00361,PF00361
CK_00000017,CK_Pro_SB_01213,PF00044  PF00044  PF02800,PF00044|PF02800
CK_00000018,CK_Cya_CB0205_06836,PF00873,PF00873
CK_00000020,CK_Cya_PCC6307_02394,PF03109  PF06176,PF03109
CK_00000021,CK_Syn_BOUM118_00461,PF01041,PF01041
CK_00000022,CK_Pro_MIT9123_01331,PF13555  PF13304,PF00005
CK_00000023,CK_Syn_RS9917_00632,PF12849,PF12849
CK_00000024,CK_Syn_MITS9220_01218,PF11965  PF02514,PF02514|PF11965
CK_00000025,CK_Pro_SS120_01790,PF00561,PF12697
CK_00000028,CK_Pro_NATL2A_00689,PF16898  PF00521  PF03989  PF03989  PF03989  PF03989  PF03989  PF03989,PF00521|PF03989
CK_00000029,CK_Syn_PROS-U-1_03149,PF00012,PF00012
CK_00000030,CK_Pro_SS35_01570,PF00266,PF00266
CK_00000031,CK_Pro_MIT9401_00026,PF16881  PF04055,PF04055|PF16881
CK_00000033,CK_Syn_WH8103_01318,PF14684  PF17820  PF03572,PF03572|PF17820
CK_00000039,CK_Syn_A15-28_00186,PF00483  PF01050  PF01050  PF01050,PF00483|PF01050|PF22640
CK_00000042,CK_Pro_MIT0604_01390,PF00124  PF00124,PF00124
CK_00000043,CK_Syn_RS9916_36757,PF00487,PF00487
CK_00000045,CK_Pro_MIT0701_00932,PF00916  PF06501  PF13466,PF00916|PF01740
CK_00000049,CK_Syn_KORDI-100_07720,PF02016,PF02016|PF17676
CK_00000051,CK_Syn_CC9616_00809,PF00005  PF13304  PF13732,PF00005|PF13732
CK_00000053,CK_Syn_BIOS-U3-1_03251,PF01479  PF00849,PF00849|PF01479
CK_00000054,CK_Pro_GP2_00600,PF00912  PF00905  PF00905,PF00905|PF00912
CK_00000055,CK_Syn_KORDI-100_13010,PF06862  PF03880,PF00270|PF00271|PF03880
CK_00000059,CK_Syn_WH8101_02274,PF00106  PF13561,PF00106
CK_00000060,CK_Pro_MIT9321_01250,PF02492  PF07683  PF07683,PF02492|PF07683
CK_00000061,CK_Pro_GP2_01444,PF01746  PF02542  PF02542,PF01746|PF02542
CK_00000065,CK_Syn_NOUM97013_02623,PF00403  PF00122  PF00122  PF00702  PF08282,PF00122|PF00403|PF00702
CK_00000066,CK_Cya_CB0101_14099,PF00109  PF02801  PF02801  PF16197,PF00109|PF02801
CK_00000068,CK_Pro_MIT0601_01287,PF13343,PF13343
CK_00000073,CK_Syn_MITS9220_01569,PF12704  PF02687,PF02687
CK_00000074,CK_Syn_BMK-MC-1_02467,PF13347,PF13347
CK_00000076,CK_Syn_RS9916_37132,PF13433,PF13433
CK_00000078,CK_Syn_NOUM97013_00495, , 
CK_00000080,CK_Cya_NS01_01539,PF00950,PF00950
CK_00000083,CK_Pro_SS35_01039,PF00171  PF07368,PF00171
CK_00000086,CK_Syn_RCC307_00743,PF05834,PF05834
CK_00000088,CK_Syn_RS9916_35932,PF00483  PF00132  PF00132  PF00132,PF00483
CK_00000090,CK_Pro_PAC1_02026,PF16363,PF01370
CK_00000092,CK_Pro_MIT9313_00274,PF00977,PF00977
CK_00000093,CK_Syn_MITS9220_03093,PF00291,PF00291
CK_00000098,CK_Syn_RS9902_02432,PF00202,PF00202
CK_00000100,CK_Syn_PROS-U-1_00887,PF02776  PF02776  PF00205  PF02775,PF00205|PF02775|PF02776
CK_00000102,CK_Pro_MIT9202_00439,PF07992  PF02852  PF02852,PF02852|PF07992
CK_00000103,CK_Syn_TAK9802_01467,PF03951  PF03951  PF00120,PF00120|PF03951
CK_00000105,CK_Syn_MINOS11_01969,PF00672  PF13188  PF08447  PF00512  PF02518,PF00512|PF00672|PF02518|PF08448
CK_00000106,CK_Syn_A15-62_02290,PF00389  PF02826  PF03315  PF01842,PF00389|PF01842|PF02826|PF19304
CK_00000111,CK_Cya_CB0205_01021,PF18073  PF06745  PF13541,PF13481|PF13541|PF18073
CK_00000113,CK_Syn_KORDI-49_24580,PF00662  PF00361  PF01010  PF06455,PF00361|PF00662|PF01010
CK_00000114,CK_Pro_MIT9116_01736,PF00493  PF13519,PF01078|PF13519|PF17863
CK_00000115,CK_Pro_NATL1A_08571,PF16363,PF16363
CK_00000116,CK_Pro_MIT0701_01743,PF04257  PF12073,PF00580|PF13361|PF21196
CK_00000118,CK_Syn_PROS-U-1_00219,PF00343,PF00343
